"","gene_id","log2foldchange","log2CPM","pvalue","FDR","change","logP"
"TDG","TDG",1.09280211516603,4.96139930694578,2.22895232697396e-06,1.22446903540069e-05,"not",5.65189922014854
"UFD1","UFD1",0.996456504945899,5.89732367611573,2.23376648474536e-06,1.22672312839851e-05,"not",5.65096222946894
"CDC42EP5","CDC42EP5",2.76925913493255,6.62746159002616,2.24637006725647e-06,1.23325216387243e-05,"up",5.6485186964591
"IFRD2","IFRD2",1.7179904677976,5.75230271783598,2.25339249102145e-06,1.23671397686307e-05,"not",5.64716315721578
"GNG10","GNG10",1.34630866384656,3.72494129712643,2.27185305025224e-06,1.2464491059492e-05,"not",5.64361976342252
"RARRES1","RARRES1",-2.30517703860414,2.96387217361584,2.27475090518667e-06,1.24764230352816e-05,"down",5.64306615347975
"STOML2","STOML2",1.41239072208909,7.17160504175919,2.28524575125464e-06,1.25300017279627e-05,"not",5.64106708982831
"MATN1","MATN1",2.52906580912967,0.128582488579986,2.28732722531765e-06,1.25374305186964e-05,"up",5.64067170072599
"TEX38","TEX38",-1.86928788700097,-2.66959284762108,2.29182496953224e-06,1.25580945853537e-05,"not",5.63981855322687
"PPHLN1","PPHLN1",0.807127304137708,5.90177404699961,2.30519229098962e-06,1.26242171723025e-05,"not",5.63729284145328
"ATF5","ATF5",1.99407770837113,6.69499628725663,2.30583517185862e-06,1.26242171723025e-05,"not",5.63717174062793
"KRT86","KRT86",-2.39777347624709,-2.36725239604457,2.3060870777802e-06,1.26242171723025e-05,"down",5.63712429778484
"MID1IP1","MID1IP1",-1.84821593533851,4.00341479893512,2.31672134606034e-06,1.26784100305332e-05,"not",5.63512619976464
"TRO","TRO",1.74754645962556,5.95553080238439,2.31999691765195e-06,1.26923103405467e-05,"not",5.63451259211239
"VTA1","VTA1",1.05850397685925,6.17457699412316,2.35062135790199e-06,1.28557754455147e-05,"not",5.62881732213724
"FANK1","FANK1",-1.77993401500438,1.04990682535678,2.35522391926254e-06,1.28768658830403e-05,"not",5.62796779669765
"CFAP410","CFAP410",-1.00378284050785,3.59857713489243,2.37119130922682e-06,1.29600589295879e-05,"not",5.62503340545252
"POLG2","POLG2",1.42040910027788,4.1110601470678,2.37195554065817e-06,1.29601307327602e-05,"not",5.62489345553871
"THOC6","THOC6",1.45197917946204,5.18089613239279,2.40075617206838e-06,1.31133421174549e-05,"not",5.6196519459415
"P2RX5","P2RX5",4.78448896682362,2.50979476549307,2.4076894446075e-06,1.31470510654122e-05,"up",5.61839953119792
"ZNF37A","ZNF37A",1.3581504230498,5.66610125506974,2.42020273561769e-06,1.32111984191975e-05,"not",5.61614825250214
"PSMB2","PSMB2",1.03391032553533,7.51434749541324,2.43035305928821e-06,1.32624105117072e-05,"not",5.61433063151987
"CNOT8","CNOT8",0.899979345670447,6.28505992293964,2.43804697234562e-06,1.33001898538804e-05,"not",5.61295793135341
"GLTPD2","GLTPD2",-1.76207195536302,-0.281021174486082,2.44733897221898e-06,1.33466605453978e-05,"not",5.61130587389761
"EXO5","EXO5",1.25188945106628,3.1515780832203,2.44825378038299e-06,1.33474309575067e-05,"not",5.61114356622116
"CCSAP","CCSAP",1.80450929714932,4.15183485352974,2.45419059151921e-06,1.33755712750044e-05,"not",5.61009171315304
"DDC","DDC",-4.22182533770279,1.3090903161807,2.46070740124521e-06,1.34068538706934e-05,"down",5.60894002448468
"PTPRF","PTPRF",-1.63684577009167,6.418437486465,2.48439349821637e-06,1.35316318850137e-05,"not",5.60477961599566
"FBXO41","FBXO41",2.53076631695987,3.90612507814659,2.49002417963584e-06,1.35580205805038e-05,"up",5.60379643562256
"GRK6","GRK6",1.18226736915766,5.4156434819489,2.53080725900652e-06,1.37757347804914e-05,"not",5.59674092854276
"ATP8B3","ATP8B3",2.58379646938459,2.86126432889283,2.54605687787281e-06,1.38543713111622e-05,"up",5.5941318986123
"PPP1R16A","PPP1R16A",-1.22825912196793,3.94971425777678,2.57403159525625e-06,1.4002180068142e-05,"not",5.58938612659976
"NAA35","NAA35",0.827297488727712,4.60552512617708,2.59953320243823e-06,1.41364467091307e-05,"not",5.58510463118535
"RGS20","RGS20",5.35217309383778,3.15220935738654,2.60064876034039e-06,1.41380574542134e-05,"up",5.58491829899465
"ARIH1","ARIH1",0.779059068734583,6.50287334836218,2.61302237619574e-06,1.42008507405536e-05,"not",5.58285687124599
"FADS2","FADS2",2.68088536737086,7.10919195940888,2.64612459479759e-06,1.43762216257029e-05,"up",5.57738971057969
"GDF9","GDF9",-1.67288436160552,-0.39078443214505,2.64737669644111e-06,1.43784969773659e-05,"not",5.57718425834126
"GLRX2","GLRX2",1.87223733261306,4.04811517514429,2.66709142909704e-06,1.44810140368374e-05,"not",5.57396209624423
"A1BG","A1BG",1.97577479478207,0.472996098834579,2.68104287801279e-06,1.45521846052566e-05,"not",5.5716962402747
"MRPL42","MRPL42",1.02774402604063,6.81841540330403,2.6830118074e-06,1.4558292055562e-05,"not",5.57137741608043
"DNAJC8","DNAJC8",0.970397534338691,7.34010151186678,2.68662927001885e-06,1.45733379610736e-05,"not",5.5707922580526
"NPM2","NPM2",-2.57052153109181,-0.165279290146419,2.70002926706394e-06,1.46414220625985e-05,"down",5.56863152826491
"ARMC10","ARMC10",1.16989374279288,5.85202297848107,2.70511838806702e-06,1.46620573144871e-05,"not",5.56781372347455
"SH2D3C","SH2D3C",-1.43136844119336,4.01877265046414,2.70553407646056e-06,1.46620573144871e-05,"not",5.5677469917164
"VDAC2","VDAC2",1.02436343709475,7.38703990441528,2.71716815949244e-06,1.4720482446481e-05,"not",5.56588348323108
"ARAP3","ARAP3",-2.06625785605356,3.17354726552814,2.72813428618718e-06,1.4775253329617e-05,"down",5.5641342563342
"DNAAF1","DNAAF1",-2.12045695526009,0.348444085930498,2.73597367602373e-06,1.48130611169719e-05,"down",5.56288808546531
"SRBD1","SRBD1",1.36789377725614,4.70916971981633,2.73694441273407e-06,1.48136687081952e-05,"not",5.56273402300932
"MYADM","MYADM",1.61596184408484,8.92992484312608,2.78320604452068e-06,1.50568385750239e-05,"not",5.5554546410659
"ADRA2C","ADRA2C",-2.36471388419711,2.38149821791733,2.78361721555064e-06,1.50568385750239e-05,"down",5.55539048623237
"PREX2","PREX2",-1.72496281487675,2.21215460694161,2.80496956404413e-06,1.51675806416739e-05,"not",5.55207184679263
"ZBTB12","ZBTB12",2.69816683810564,3.12981317625691,2.81976347697524e-06,1.52428003744385e-05,"up",5.54978731896876
"MCUB","MCUB",2.60191675250611,4.92787172564963,2.86498411595218e-06,1.54823992861744e-05,"up",5.54287778150582
"CAMSAP1","CAMSAP1",1.23461397878775,5.45211016005474,2.87139145727603e-06,1.55121664355973e-05,"not",5.54190759602813
"METAP1","METAP1",0.936568526869417,5.93715630698092,2.8769142457424e-06,1.55371378122958e-05,"not",5.54107308324555
"PSMC3IP","PSMC3IP",1.84453034690452,2.71371010464829,2.88013482817889e-06,1.55496640989446e-05,"not",5.54058718107289
"PPARGC1B","PPARGC1B",2.47502353898193,3.35444050384149,2.88604828107827e-06,1.55767166374744e-05,"up",5.5396964078127
"PGC","PGC",-3.23512221713927,-3.85360808943015,2.89681855527071e-06,1.56299575269531e-05,"down",5.53807870635389
"SLC22A15","SLC22A15",-2.68030945595213,1.24548164050129,2.91509500784932e-06,1.5723652504045e-05,"down",5.53534728628668
"KIF5B","KIF5B",1.25304352849522,8.16727696938925,2.91823974654968e-06,1.57313586879136e-05,"not",5.53487903172753
"MRPL30","MRPL30",0.818588973347109,5.43881662137234,2.91875942120215e-06,1.57313586879136e-05,"not",5.53480170026728
"THEM6","THEM6",-1.57184944015921,4.02556081507252,2.91925879563602e-06,1.57313586879136e-05,"not",5.53472740260205
"ABL1","ABL1",1.87509666030454,8.28961479820731,2.92680734856052e-06,1.57671123320049e-05,"not",5.53360586322069
"CDKL1","CDKL1",-1.53183635111456,1.98463760710049,2.93555308906869e-06,1.58092910586393e-05,"not",5.53231006106009
"EIF5A","EIF5A",1.5839907208674,9.21552081502597,2.93754878088298e-06,1.58146442731187e-05,"not",5.53201491277386
